Index,Type,Group,Day,Time,Venue,Remark
 10198,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,DSAI1,Mon,1130-1230,TR+33, Teaching Wk2-13
,Lab,DSAI1,Mon,0830-1030,SPL," Teaching Wk1,3,5,7,9,11,13"
 10199,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,DSAI2,Mon,1330-1430,TR+9, Teaching Wk2-13
,Lab,DSAI2,Mon,0830-1030,SPL," Teaching Wk2,4,6,8,10,12"
 10200,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS10,Mon,0930-1030,LHN-TR+17, Teaching Wk2-13
,Lab,SS10,Fri,1230-1430,SPL," Teaching Wk1,3,5,7,9,11,13"
 10201,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS11,Thu,1030-1130,TR+17, Teaching Wk2-13
,Lab,SS11,Thu,1430-1630,SWLAB1," Teaching Wk2,4,6,8,10,12"
 10202,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS2,Wed,1030-1130,TR+16, Teaching Wk2-13
,Lab,SS2,Thu,1430-1630,SPL," Teaching Wk2,4,6,8,10,12"
 10203,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS4,Tue,1030-1130,LHN-TR+18, Teaching Wk2-13
,Lab,SS4,Wed,1030-1230,SPL," Teaching Wk2,4,6,8,10,12"
 10204,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS5,Mon,0930-1030,LHN-TR+16, Teaching Wk2-13
,Lab,SS5,Mon,1030-1230,SPL," Teaching Wk1,3,5,7,9,11,13"
 10205,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS6,Wed,1530-1630,LHN-TR+16, Teaching Wk2-13
,Lab,SS6,Mon,1030-1230,SPL," Teaching Wk2,4,6,8,10,12"
 10206,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS7,Wed,1630-1730,LHN-TR+16, Teaching Wk2-13
,Lab,SS7,Wed,0830-1030,SPL," Teaching Wk1,3,5,7,9,11,13"
 10207,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS8,Tue,1430-1530,LHN-TR+17, Teaching Wk2-13
,Lab,SS8,Wed,0830-1030,SPL," Teaching Wk2,4,6,8,10,12"
 10208,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS9,Wed,1030-1130,LHN-TR+16, Teaching Wk2-13
,Lab,SS9,Thu,1430-1630,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10209,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS12,Wed,1530-1630,LHN-TR+17, Teaching Wk2-13
,Lab,SS12,Wed,1030-1230,SPL," Teaching Wk1,3,5,7,9,11,13"
 10480,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS13,Wed,1630-1730,TR+8, Teaching Wk2-13
,Lab,SS13,Wed,0830-1030,SPL," Teaching Wk1,3,5,7,9,11,13"
 10481,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS14,Wed,0830-0930,TR+7, Teaching Wk2-13
,Lab,SS14,Tue,1230-1430,SPL," Teaching Wk1,3,5,7,9,11,13"
 10486,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SE3,Tue,1630-1730,TR+9, Teaching Wk2-13
,Lab,SE3,Mon,1430-1630,SWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10493,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS2,Wed,1030-1130,TR+16, Teaching Wk2-13
,Lab,SS10,Fri,1230-1430,SPL," Teaching Wk1,3,5,7,9,11,13"
 13830,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,BCG2,Fri,1330-1430,TR+9, Teaching Wk2-13
,Lab,BCG2,Tue,1230-1430,SPL," Teaching Wk2,4,6,8,10,12"
 13831,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS1,Thu,1030-1130,TR+18, Teaching Wk2-13
,Lab,SS1,Thu,1430-1630,SPL," Teaching Wk1,3,5,7,9,11,13"
 13832,Lec/Studio,CS2,Tue,0930-1030,ONLINE,
,Lec/Studio,CS2,Fri,1130-1230,ONLINE,
,Tut,SS3,Tue,0830-0930,TR+16, Teaching Wk2-13
,Lab,SS3,Fri,1230-1430,SPL," Teaching Wk2,4,6,8,10,12"
