Index,Type,Group,Day,Time,Venue,Remark
 10182,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,DSAI1,Wed,1130-1230,TR+37, Teaching Wk2-13
,Lab,DSAI1,Thu,1030-1230,HWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10183,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,DSAI2,Wed,1230-1330,TR+37, Teaching Wk2-13
,Lab,DSAI2,Thu,1030-1230,HWLAB2," Teaching Wk2,4,6,8,10,12"
 10184,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS1,Wed,0930-1030,TR+9, Teaching Wk2-13
,Lab,SS1,Thu,1430-1630,HWLAB2," Teaching Wk2,4,6,8,10,12"
 10185,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS2,Fri,1330-1430,TR+16, Teaching Wk2-13
,Lab,SS2,Thu,1430-1630,HWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10186,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS3,Tue,1130-1230,TR+16, Teaching Wk2-13
,Lab,SS3,Mon,1430-1630,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10187,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS4,Tue,1030-1130,TR+17, Teaching Wk2-13
,Lab,SS4,Mon,1430-1630,HWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10188,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS5,Wed,1330-1430,TR+15, Teaching Wk2-13
,Lab,SS5,Thu,1430-1630,HWLAB2," Teaching Wk2,4,6,8,10,12"
 10189,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS6,Wed,1030-1130,TR+9, Teaching Wk2-13
,Lab,SS6,Mon,1030-1230,HWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10191,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SSP1,Tue,1330-1430,TR+37, Teaching Wk2-13
,Lab,SSP1,Mon,1030-1230,HWLAB3," Teaching Wk2,4,6,8,10,12"
 10192,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SSP2,Wed,1230-1330,TR+33, Teaching Wk2-13
,Lab,SSP2,Mon,1030-1230,HWLAB2," Teaching Wk2,4,6,8,10,12"
 10193,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SSP3,Thu,1230-1330,TR+16, Teaching Wk2-13
,Lab,SSP3,Wed,1430-1630,HWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10194,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SSP4,Fri,1330-1430,TR+20, Teaching Wk2-13
,Lab,SSP4,Tue,1230-1430,HWLAB1," Teaching Wk2,4,6,8,10,12"
 10195,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SSP5,Tue,1430-1530,TR+17, Teaching Wk2-13
,Lab,SSP5,Wed,1030-1230,HWLAB2," Teaching Wk2,4,6,8,10,12"
 10196,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SSP6,Tue,1130-1230,LHN-TR+18, Teaching Wk2-13
,Lab,SSP6,Mon,1430-1630,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10197,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SSP7,Tue,1330-1430,TR+18, Teaching Wk2-13
,Lab,SSP7,Mon,1030-1230,HWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10404,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS7,Fri,1630-1730,TR+9, Teaching Wk2-13
,Lab,SSP7,Mon,1030-1230,HWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10405,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS7,Fri,1630-1730,TR+9, Teaching Wk2-13
,Lab,BCG2,Tue,1230-1430,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10440,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS7,Fri,1630-1730,TR+9, Teaching Wk2-13
,Lab,SSP3,Wed,1430-1630,HWLAB3," Teaching Wk1,3,5,7,9,11,13"
 10441,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS7,Fri,1630-1730,TR+9, Teaching Wk2-13
,Lab,SSP1,Mon,1030-1230,HWLAB3," Teaching Wk2,4,6,8,10,12"
 10487,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SE1,Tue,1030-1130,TR+16, Teaching Wk2-13
,Lab,SE1,Mon,1430-1630,HWLAB3," Teaching Wk2,4,6,8,10,12"
 10488,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SE2,Mon,0830-0930,LHN-TR+18, Teaching Wk2-13
,Lab,SE2,Mon,1430-1630,HWLAB2," Teaching Wk1,3,5,7,9,11,13"
 10489,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,Sep-01,Mon,1630-1730,TR+31, Teaching Wk2-13
,Lab,Sep-01,Tue,1030-1230,HWLAB2," Teaching Wk2,4,6,8,10,12"
 10491,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS8,Wed,0930-1030,TR+3, Teaching Wk2-13
,Lab,SS7,Tue,1230-1430,HWLAB3," Teaching Wk2,4,6,8,10,12"
 10492,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SE1,Tue,1030-1130,TR+16, Teaching Wk2-13
,Lab,BCG2,Tue,1230-1430,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
 10494,Lec/Studio,CS2,Fri,1030-1130,ONLINE,
,Lec/Studio,CS2,Mon,1230-1330,ONLINE,
,Tut,SS1,Wed,0930-1030,TR+9, Teaching Wk2-13
,Lab,BCG2,Tue,1230-1430,HWLAB1," Teaching Wk1,3,5,7,9,11,13"
