Index,Type,Group,Day,Time,Venue,Remark
 71050,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_1,Thu,1130-1230,LHS-TR+27, Teaching Wk2-13
 71051,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_2,Thu,1130-1230,LHS-TR+28, Teaching Wk2-13
 71052,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_3,Thu,1130-1230,LHS-TR+31, Teaching Wk2-13
 71053,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_4,Thu,1130-1230,SPMS-TR+6, Teaching Wk2-13
 71054,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_5,Thu,1330-1430,LHS-TR+24, Teaching Wk2-13
 71055,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_6,Thu,1330-1430,LHS-TR+27, Teaching Wk2-13
 71056,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_7,Thu,1330-1430,LHS-TR+28, Teaching Wk2-13
 71057,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_8,Thu,1330-1430,SPMS-TR+15, Teaching Wk2-13
 71058,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_9,Thu,1630-1730,LHS-TR+39, Teaching Wk2-13
 71059,Lec/Studio,LE2,Fri,0830-1030,ONLINE,
,Lec/Studio,LE2,Tue,0930-1030,ONLINE,
,Tut,T_10,Thu,1630-1730,LHS-TR+40, Teaching Wk2-13
