Index,Type,Group,Day,Time,Venue,Remark
 19510,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T1,Tue,0930-1030,ONLINE, Teaching Wk2-13
 19511,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T2,Tue,1030-1130,ONLINE, Teaching Wk2-13
 19512,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T3,Tue,1130-1230,ONLINE, Teaching Wk2-13
 19513,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T4,Tue,1430-1530,ONLINE, Teaching Wk2-13
 19514,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T5,Tue,1530-1630,ONLINE, Teaching Wk2-13
 19515,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T6,Fri,1330-1430,ONLINE, Teaching Wk2-13
 19516,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T7,Fri,1430-1530,ONLINE, Teaching Wk2-13
 19517,Lec/Studio,LEC1,Thu,1430-1630,ONLINE,
,Tut,T8,Fri,1530-1630,ONLINE, Teaching Wk2-13
