Index,Type,Group,Day,Time,Venue,Remark
71120,Lec/Studio,LE2,4,1430 1630,TCT-LT,1 2 3 4 5 6 7 8 9 10 11 12 13
71120,Lec/Studio,LE2,3,1530 1630,SPMS-LT1,1 2 3 4 5 6 7 8 9 10 11 12 13
71120,Tut,T_1,3,1630 1730,SPMS-LT1,2 3 4 5 6 7 8 9 10 11 12 13
71121,Lec/Studio,LE2,4,1430 1630,TCT-LT,1 2 3 4 5 6 7 8 9 10 11 12 13
71121,Lec/Studio,LE2,3,1530 1630,SPMS-LT1,1 2 3 4 5 6 7 8 9 10 11 12 13
71121,Tut,T_1,3,1630 1730,SPMS-LT1,2 3 4 5 6 7 8 9 10 11 12 13
71122,Lec/Studio,LE2,4,1430 1630,TCT-LT,1 2 3 4 5 6 7 8 9 10 11 12 13
71122,Lec/Studio,LE2,3,1530 1630,SPMS-LT1,1 2 3 4 5 6 7 8 9 10 11 12 13
71122,Tut,T_1,3,1630 1730,SPMS-LT1,2 3 4 5 6 7 8 9 10 11 12 13
71123,Lec/Studio,LE2,4,1430 1630,TCT-LT,1 2 3 4 5 6 7 8 9 10 11 12 13
71123,Lec/Studio,LE2,3,1530 1630,SPMS-LT1,1 2 3 4 5 6 7 8 9 10 11 12 13
71123,Tut,T_1,3,1630 1730,SPMS-LT1,2 3 4 5 6 7 8 9 10 11 12 13
