Index,Type,Group,Day,Time,Venue,Remark
19501,Lec/Studio,LEC1,1,0930 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19501,Tut,T1,1,1230 1330,ONLINE,2 3 4 5 6 7 8 9 10 11 12 13
19502,Lec/Studio,LEC1,1,0930 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19502,Tut,T2,1,1330 1430,ONLINE,2 3 4 5 6 7 8 9 10 11 12 13
19503,Lec/Studio,LEC1,1,0930 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19503,Tut,T3,1,1430 1530,ONLINE,2 3 4 5 6 7 8 9 10 11 12 13
19504,Lec/Studio,LEC1,1,0930 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19504,Tut,T4,1,1530 1630,ONLINE,2 3 4 5 6 7 8 9 10 11 12 13
19505,Lec/Studio,LEC1,1,0930 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19505,Tut,T5,2,0930 1030,ONLINE,2 3 4 5 6 7 8 9 10 11 12 13
19506,Lec/Studio,LEC1,1,0930 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19506,Tut,T6,2,1030 1130,ONLINE,2 3 4 5 6 7 8 9 10 11 12 13
19508,Lec/Studio,LEC1,1,0930 1130,ONLINE,1 2 3 4 5 6 7 8 9 10 11 12 13
19508,Tut,T8,2,1230 1330,ONLINE,2 3 4 5 6 7 8 9 10 11 12 13
